species	MGI	UniProtKB	gene	ID
MOUSE	1916222	Q3U1C6	Putative deoxyribonuclease TATDN3	Tatdn3
MOUSE	3782201	Q3UT53	Protein BB287469	BB287469
MOUSE	1347479	O54743	Forkhead box protein F2	Foxf2
MOUSE	1355275	Q9QY61	Iroquois-class homeodomain protein IRX-4	Irx4
MOUSE	96190	P20615	Homeobox protein Hox-B9	Hoxb9
MOUSE	1919053	Q9DB41	Mitochondrial glutamate carrier 2	Slc25a18
MOUSE	96209	P23463	Homeobox protein Hox-D8	Hoxd8
MOUSE	1919248	Q5SWT3	Solute carrier family 25 member 35	Slc25a35
MOUSE	101839	P41105	60S ribosomal protein L28	Rpl28
MOUSE	1347488	P42128	Forkhead box protein K1	Foxk1
MOUSE	1914957	Q9CQ06	"39S ribosomal protein L24, mitochondrial"	Mrpl24
MOUSE	95456	P15037	Protein C-ets-2	Ets2
MOUSE	1913895	Q8R326	Paraspeckle component 1	Pspc1
MOUSE	2681836	B2RXC6	DNA-directed RNA polymerase	Polr3a
MOUSE	1913344	Q9CQQ8	U6 snRNA-associated Sm-like protein LSm7	Lsm7
MOUSE	1921358	Q8VDG3	Poly(A)-specific ribonuclease PARN	Parn
MOUSE	1923616	Q9CZD5	"Translation initiation factor IF-3, mitochondrial"	Mtif3
MOUSE	1349427	Q9QZ11	Exonuclease 1	Exo1
MOUSE	1861461	P43276	Histone H1.5	Hist1h1b
MOUSE	1196386	Q9D8K8	Solute carrier family 25 member 39	Slc25a39
MOUSE	97311	P70257	Nuclear factor 1 X-type	Nfix
MOUSE	2153710	Q8BGW3	Class E basic helix-loop-helix protein 23	Bhlhe23
MOUSE	3770275	A2ANE0	MCG113260	Rhox2f
MOUSE	97388	Q02819	Nucleobindin-1	Nucb1
MOUSE	1914410	Q9D8N0	Elongation factor 1-gamma	Eef1g
MOUSE	97486	P32114	Paired box protein Pax-2	Pax2
MOUSE	1859516	P62858	40S ribosomal protein S28	Rps28
MOUSE	1924150	Q3U4B1	Protein Ssbp4	Ssbp4
MOUSE	1277182	E9Q2N0	Protein Cpsf4l	Cpsf4l
MOUSE	3584032	Q45KJ6	Protein lin-28 homolog B	Lin28b
MOUSE	2137215	Q9CQF0	"39S ribosomal protein L11, mitochondrial"	Mrpl11
MOUSE	1916974	Q9CWY8	Ribonuclease H2 subunit A	Rnaseh2a
MOUSE	106589	A2A884	Transcription factor HIVEP3	Hivep3
MOUSE	107179	P48755	Fos-related antigen 1	Fosl1
MOUSE	98504	P22361	Hepatocyte nuclear factor 1-alpha	Hnf1a
MOUSE	3782482	E9PX25	Protein Gm4302	Gm4302
MOUSE	1861727	Q9ESX5	H/ACA ribonucleoprotein complex subunit 4	Dkc1
MOUSE	1347487	O08696	Forkhead box protein M1	Foxm1
MOUSE	106188	Q61133	Glutathione S-transferase theta-2	Gstt2
MOUSE	2442925	Q4QY64	ATPase family AAA domain-containing protein 5	Atad5
MOUSE	1344395	B1AR17	Protein Chd3	Chd3
MOUSE	1931749	Q80U78	Pumilio homolog 1	Pum1
MOUSE	1917820	Q68ED3	Non-canonical poly(A) RNA polymerase PAPD5	Papd5
MOUSE	1916924	Q3UBZ5	MIF4G domain-containing protein	Mif4gd
MOUSE	88373	P28033	CCAAT/enhancer-binding protein beta	Cebpb
MOUSE	1916603	Q9D2A5	Cyclic AMP-responsive element-binding protein 3-like protein 4	Creb3l4
MOUSE	3645576	D3YW16	Protein Gm5316	Gm5316
MOUSE	1917826	Q8BTV2	Cleavage and polyadenylation specificity factor subunit 7	Cpsf7
MOUSE	107934	O35618	Protein Mdm4	Mdm4
MOUSE	1913653	Q9CQE6	Histone chaperone ASF1A	Asf1a
MOUSE	2149033	E9PXV9	Protein Obox2	Obox2
MOUSE	1329037	Q9Z1Z2	Serine-threonine kinase receptor-associated protein	Strap
MOUSE	3781727	W4VSN7	MCG123916	mCG_123916
MOUSE	1915191	Q6ZWY3	40S ribosomal protein S27-like	Rps27l
MOUSE	2143977	Q6P5G3	MBT domain-containing protein 1	Mbtd1
MOUSE	893586	Q9D0T1	NHP2-like protein 1	Nhp2l1
MOUSE	1099787	P56501	Mitochondrial uncoupling protein 3	Ucp3
MOUSE	99257	P60229	Eukaryotic translation initiation factor 3 subunit E	Eif3e
MOUSE	1915121	Q9D6S7	"Ribosome-recycling factor, mitochondrial"	Mrrf
MOUSE	1352460	Q61066	Nuclear receptor subfamily 0 group B member 1	Nr0b1
MOUSE	2139461	Q8BXJ9	Transmembrane protein 62	Tmem62
MOUSE	1921664	Q9D483	DNA-directed RNA polymerase III subunit RPC3	Polr3c
MOUSE	107726	Q62383	Transcription elongation factor SPT6	Supt6h
MOUSE	4937049	F6YI27	Protein Gm17415	Gm17415
MOUSE	1355319	Q9JHI7	Exosome complex component RRP45	Exosc9
MOUSE	1890545	F6WNY1	Protein Tex16 (Fragment)	Tex16
MOUSE	1923615	Q9EPZ6	T-box transcription factor TBX18	Tbx18
MOUSE	104717	Q60954	Homeobox protein Meis1	Meis1
MOUSE	2151152	Q91YE5	Bromodomain adjacent to zinc finger domain protein 2A	Baz2a
MOUSE	1921504	Q8VCE2	GPN-loop GTPase 1	Gpn1
MOUSE	2139916	Q8BQM9	Mediator of RNA polymerase II transcription subunit 12-like protein	Med12l
MOUSE	1914648	Q9DBG7	Signal recognition particle receptor subunit alpha	Srpr
MOUSE	109561	O35892	Nuclear autoantigen Sp-100	Sp100
MOUSE	1918965	A2ACQ1	Protein Dhx35	Dhx35
MOUSE	1860454	Q9QWH1	Polyhomeotic-like protein 2	Phc2
MOUSE	98365	P53784	Transcription factor SOX-3	Sox3
MOUSE	109336	P97360	Transcription factor ETV6	Etv6
MOUSE	106022	P61255	60S ribosomal protein L26	Rpl26
MOUSE	1914962	Q920G8	Mitoferrin-1	Slc25a37
MOUSE	1333811	Q9Z2E2	Methyl-CpG-binding domain protein 1	Mbd1
MOUSE	107368	Q9QVN7	Transcription elongation factor A protein 2	Tcea2
MOUSE	2686058	Q6R2P8	Endonuclease 8-like 2	Neil2
MOUSE	2150020	Q924H5	DNA repair protein RAD51 homolog 3	Rad51c
MOUSE	1890471	P57724	Poly(rC)-binding protein 4	Pcbp4
MOUSE	1347472	P35582	Hepatocyte nuclear factor 3-alpha	Foxa1
MOUSE	2443308	Q7TT79	Microcephalin	Mcph1
MOUSE	3026618	E9Q5A6	Protein Nr1h5	Nr1h5
MOUSE	1914176	Q8CE96	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	Trmt6
MOUSE	107428	Q8BTU1	UPF0468 protein C16orf80 homolog	Gtl3
MOUSE	103285	Q91YH6	"ATPase, H+ transporting, lysosomal V1 subunit B1"	Atp6v1b1
MOUSE	1202384	Q3U1J4	DNA damage-binding protein 1	Ddb1
MOUSE	1921019	Q9D600	DNA replication complex GINS protein PSF2	Gins2
MOUSE	103287	Q62377	U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2	Zrsr2
MOUSE	2447794	Q5DTW2	Scm-like with four MBT domains protein 2	Sfmbt2
MOUSE	5504034	S4R2N6	Protein Gm26919	Gm26919
MOUSE	96170	P09022	Homeobox protein Hox-A1	Hoxa1
MOUSE	1913504	Q9D0D4	Probable dimethyladenosine transferase	Dimt1
MOUSE	3039562	Q6NZA9	Transcription initiation factor TFIID subunit 9B	Taf9b
MOUSE	3580016	Q3UHD9	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2"	Agap2
MOUSE	1098280	P45481	CREB-binding protein	Crebbp
MOUSE	99540	Q62282	T-cell acute lymphocytic leukemia protein 2 homolog	Tal2
MOUSE	106248	P63242	Eukaryotic translation initiation factor 5A-1	Eif5a
MOUSE	2442866	Q3LR78	CtBP-interacting BTB zinc finger protein	Zbtb38
MOUSE	1351605	P27659	60S ribosomal protein L3	Rpl3
MOUSE	1919414	Q8R0F5	"RNA-binding motif protein, X-linked 2"	Rbmx2
MOUSE	1924661	Q8K0G8	Epithelial splicing regulatory protein 2	Esrp2
MOUSE	1353499	Q9Z277	Tyrosine-protein kinase BAZ1B	Baz1b
MOUSE	1914485	Q9Z1D9	Zinc finger protein 394	Znf394
MOUSE	1932339	Q99NB9	Splicing factor 3B subunit 1	Sf3b1
MOUSE	1195972	O35144	Telomeric repeat-binding factor 2	Terf2
MOUSE	1342288	Q9WUN8	Transcription factor LBX2	Lbx2
MOUSE	2670965	Q80YR4	Zinc finger protein 598	Znf598
MOUSE	96189	P09632	Homeobox protein Hox-B8	Hoxb8
MOUSE	1920018	Q6ZQF0	DNA topoisomerase 2-binding protein 1	Topbp1
MOUSE	3779444	F6SSI5	Uncharacterized protein	Gm4877
MOUSE	1343091	O88895	Histone deacetylase 3	Hdac3
MOUSE	1918240	Q8CHZ9	"Transcription termination factor, mitochondrial"	Mterf
MOUSE	97169	Q03358	Homeobox protein MSX-2	Msx2
MOUSE	3643573	E9Q4G9	Protein Gm6763	Gm6763
MOUSE	2446774	Q6XAS2	MCG68109	Ssxb5
MOUSE	102949	Q61575	Forkhead box protein N1	Foxn1
MOUSE	1915469	Q9CQF3	Cleavage and polyadenylation specificity factor subunit 5	Nudt21
MOUSE	1913634	Q9D7A6	Signal recognition particle 19 kDa protein	Srp19
MOUSE	3646583	F6YH22	Protein Gm5218	Gm5218
MOUSE	2142433	D3YXK1	Atherin	Samd1
MOUSE	1914604	Q8R3F0	Larp2 protein	Larp1b
MOUSE	2441675	E9Q492	Protein Pgbd1	Pgbd1
MOUSE	3643518	F6ZVW4	Protein Gm5459	Gm5459
MOUSE	1914807	Q8BN59	La-related protein 6	Larp6
MOUSE	96108	Q8BW74	Hepatic leukemia factor	Hlf
MOUSE	1929266	Q78PY7	Staphylococcal nuclease domain-containing protein 1	Snd1
MOUSE	1353631	Q9JHI2	tRNA-specific adenosine deaminase 1	Adat1
MOUSE	1347468	Q64733	Forkhead box protein B2	Foxb2
MOUSE	1931527	P43274	Histone H1.4	Hist1h1e
MOUSE	2384588	Q8K203	Endonuclease 8-like 3	Neil3
MOUSE	2673307	Q8CF90	Transcription factor MafA	Mafa
MOUSE	97891	P35601	Replication factor C subunit 1	Rfc1
MOUSE	1924161	E9PZ26	Protein Brd1	Brd1
MOUSE	97275	P10085	Myoblast determination protein 1	Myod1
MOUSE	98785	P11378	Nuclear transition protein 2	Tnp2
MOUSE	1276106	O88874	Cyclin-K	Ccnk
MOUSE	107202	Q62388	Serine-protein kinase ATM	Atm
MOUSE	2384914	Q8K3G9	DCC-interacting protein 13-beta	Appl2
MOUSE	1203484	Q61464	Zinc finger protein 638	Znf638
MOUSE	1333794	Q8BU88	"39S ribosomal protein L22, mitochondrial"	Mrpl22
MOUSE	96770	P27782	Lymphoid enhancer-binding factor 1	Lef1
MOUSE	98886	P26369	Splicing factor U2AF 65 kDa subunit	U2af2
MOUSE	101877	Q61286	Transcription factor 12	Tcf12
MOUSE	2445092	Q6EJB6	U3 small nucleolar RNA-associated protein 14 homolog B	Utp14b
MOUSE	96919	Q02067	Achaete-scute homolog 1	Ascl1
MOUSE	94903	Q64205	Homeobox protein DLX-3	Dlx3
MOUSE	3650131	A2BFQ5	Histone H2A	Gm14474
MOUSE	106292	Q78WZ7	DNA-directed RNA polymerase I subunit RPA43	Twistnb
MOUSE	2682305	E9Q4Y2	Protein Rsf1	Rsf1
MOUSE	1891706	Q62504	Msx2-interacting protein	Spen
MOUSE	1890357	O88477	Insulin-like growth factor 2 mRNA-binding protein 1	Igf2bp1
MOUSE	97874	P13405	Retinoblastoma-associated protein	Rb1
MOUSE	3643069	L7MU91	Histone H2A	Gm5132
MOUSE	2685961	Q3UTB7	Forkhead box protein R1	Foxr1
MOUSE	5313143	H3BJN7	Protein Gm20696	Gm20696
MOUSE	3646150	D3YWG1	Uncharacterized protein	Gm7964
MOUSE	3641693	D3Z1D6	Uncharacterized protein	Gm10335
MOUSE	3646208	D3YUB6	BTB/POZ domain-containing protein 8	Btbd8
MOUSE	2444896	Q8BHR2	Ecto-NOX disulfide-thiol exchanger 1	Enox1
MOUSE	2445102	Q80VY9	Putative ATP-dependent RNA helicase DHX33	Dhx33
MOUSE	1097695	P70351	Histone-lysine N-methyltransferase EZH1	Ezh1
MOUSE	1918441	Q8BVM9	PHD finger protein 11A	Phf11a
MOUSE	3647362	F7ANJ3	Uncharacterized protein	Gm4775
MOUSE	104621	Q8C8B0	ALX homeobox protein 1	Alx1
MOUSE	1309526	P63276	40S ribosomal protein S17	Rps17
MOUSE	109497	P97489	Transcription factor GATA-5	Gata5
MOUSE	1913485	Q8BMJ3	"Eukaryotic translation initiation factor 1A, X-chromosomal"	Eif1ax
MOUSE	98345	P62317	Small nuclear ribonucleoprotein Sm D2	Snrpd2
MOUSE	1202879	Q924A0	Transcription factor 7-like 2	Tcf7l2
MOUSE	1346834	P45448	Nuclear receptor subfamily 5 group A member 2	Nr5a2
MOUSE	95414	P49135	TFIIH basal transcription factor complex helicase XPB subunit	Ercc3
MOUSE	1919397	Q8BID6	Zinc finger and BTB domain-containing protein 46	Zbtb46
MOUSE	108012	P70368	Homeobox protein SEBOX	Sebox
MOUSE	2141969	Q8C0D5	Elongation factor Tu GTP-binding domain-containing protein 1	Eftud1
MOUSE	2449712	Q8QZW2	Protein FEV	Fev
MOUSE	106247	Q99KP6	Pre-mRNA-processing factor 19	Prpf19
MOUSE	97772	P48437	Prospero homeobox protein 1	Prox1
MOUSE	1914179	Q9DAP7	Histone chaperone ASF1B	Asf1b
MOUSE	1858238	O35291	Non-secretory ribonuclease	Rnase2
MOUSE	96172	P31311	Homeobox protein Hox-A11	Hoxa11
MOUSE	1929455	P62830	60S ribosomal protein L23	Rpl23
MOUSE	109156	Q9CXV0	Insulin gene enhancer protein ISL-2	Isl2
MOUSE	1918973	Q9DBV3	Probable ATP-dependent RNA helicase DHX34	Dhx34
MOUSE	1928377	Q9Z2U4	ETS-related transcription factor Elf-4	Elf4
MOUSE	1858199	Q62447	Cyclin-C	Ccnc
MOUSE	1913492	Q9CPX7	"28S ribosomal protein S16, mitochondrial"	Mrps16
MOUSE	2135796	Q9JKP8	Chromatin accessibility complex protein 1	Chrac1
MOUSE	1347062	Q9Z125	Cyclic AMP-responsive element-binding protein 3-like protein 1	Creb3l1
MOUSE	2384782	Q91XD8	Solute carrier family 25 member 38	Slc25a38
MOUSE	1914260	Q9CQT2	RNA-binding protein 7	Rbm7
MOUSE	1270841	P97784	Cryptochrome-1	Cry1
MOUSE	1353651	Q8CI11	Guanine nucleotide-binding protein-like 3	Gnl3
MOUSE	1354709	Q5SQF8	Histone deacetylase complex subunit SAP30L	Sap30l
MOUSE	2176207	Q8VIK3	Histone H1oo	H1foo
MOUSE	102670	Q61496	Probable ATP-dependent RNA helicase DDX4	Ddx4
MOUSE	1353633	P56959	RNA-binding protein FUS	Fus
MOUSE	2144271	Q5ND29	Rab-interacting lysosomal protein	Rilp
MOUSE	1355311	O70576	Cohesin subunit SA-3	Stag3
MOUSE	1933117	Q8CAS9	Poly [ADP-ribose] polymerase 9	Parp9
MOUSE	95390	P09066	Homeobox protein engrailed-2	En2
MOUSE	96185	P10284	Homeobox protein Hox-B4	Hoxb4
MOUSE	3645594	E9Q1X1	Ribosomal protein L15	Gm8420
MOUSE	98887	P62984	Ubiquitin-60S ribosomal protein L40	Uba52
MOUSE	1927165	Q8C3P7	N6-adenosine-methyltransferase subunit METTL3	Mettl3
MOUSE	1313312	Q9R226	"KH domain-containing, RNA-binding, signal transduction-associated protein 3"	Khdrbs3
MOUSE	1921735	Q9D3W5	Leucine-rich repeat-containing protein 71	Lrrc71
MOUSE	2149632	P62900	60S ribosomal protein L31	Rpl31
MOUSE	1351329	P62281	40S ribosomal protein S11	Rps11
MOUSE	1931028	Q75NR7	ATP-dependent DNA helicase Q4	Recql4
MOUSE	1861601	O35218	Cleavage and polyadenylation specificity factor subunit 2	Cpsf2
MOUSE	1919088	Q9DAG9	PHD finger protein 7	Phf7
MOUSE	1890396	Q9EQQ0	Histone-lysine N-methyltransferase SUV39H2	Suv39h2
MOUSE	1915092	Q8BMC4	Nucleolar protein 9	Nop9
MOUSE	101838	P29037	TATA-box-binding protein	Tbp
MOUSE	1347476	P35583	Hepatocyte nuclear factor 3-beta	Foxa2
MOUSE	1916259	Q8VCZ3	THAP domain-containing protein 7	Thap7
MOUSE	1342328	Q64368	Deleted in azoospermia-like	Dazl
MOUSE	108021	P97426	Eosinophil cationic protein 1	Ear1
MOUSE	1933623	Q61466	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	Smarcd1
MOUSE	1927642	Q9ER75	Iroquois-class homeodomain protein IRX-6	Irx6
MOUSE	3644875	S4R1G7	Histone H2A	H2afb3
MOUSE	1890465	Q8K196	"Eosinophil-associated, ribonuclease A family, member 11"	Ear11
MOUSE	1098684	Q8BJW6	Eukaryotic translation initiation factor 2A	Eif2a
MOUSE	2443697	Q8BU40	"NACHT, LRR and PYD domains-containing protein 4A"	Nlrp4a
MOUSE	1922664	Q52KE7	Cyclin-L1	Ccnl1
MOUSE	94866	Q60925	D site-binding protein	Dbp
MOUSE	2444783	Q8R2Q4	"Ribosome-releasing factor 2, mitochondrial"	Gfm2
MOUSE	99954	P40694	DNA-binding protein SMUBP-2	Ighmbp2
MOUSE	1927125	A2A9I7	Doublesex- and mab-3-related transcription factor B1	Dmrtb1
MOUSE	90676	O35900	U6 snRNA-associated Sm-like protein LSm2	Lsm2
MOUSE	101816	P43247	DNA mismatch repair protein Msh2	Msh2
MOUSE	101949	P43352	DNA repair protein RAD52 homolog	Rad52
MOUSE	1924536	Q8BY02	NF-kappa-B-repressing factor	Nkrf
MOUSE	1914447	Q9CZ96	Zinc finger CCHC-type and RNA-binding motif-containing protein 1	Zcrb1
MOUSE	3045300	A2RRY9	Protein 4930595M18Rik	4930595M18Rik
MOUSE	1289341	Q921M3	Splicing factor 3B subunit 3	Sf3b3
MOUSE	2147067	Q6P5D3	Putative ATP-dependent RNA helicase DHX57	Dhx57
MOUSE	1202305	Q62481	Vacuolar protein sorting-associated protein 72 homolog	Vps72
MOUSE	1097716	O35085	Homeobox protein ARX	Arx
MOUSE	2653627	Q8CFG4	Doublesex- and mab-3-related transcription factor A1	Dmrta1
MOUSE	107937	Q3TL26	"Dimethyladenosine transferase 2, mitochondrial"	Tfb2m
MOUSE	103021	Q9Z129	ATP-dependent DNA helicase Q1	Recql
MOUSE	3770268	A2AWM0	Protein Rhox3c	Rhox3c
MOUSE	2685230	Q4ZGD9	Nuclear export factor 3	Nxf3
MOUSE	3647516	L7N453	Uncharacterized protein	Gm4968
MOUSE	95842	P31315	GS homeobox 1	Gsx1
MOUSE	3511278	E0CZH3	Protein Foxi3	Foxi3
MOUSE	107236	Q3UM18	Large subunit GTPase 1 homolog	Lsg1
MOUSE	2448528	E9PZZ1	PR domain zinc finger protein 13	Prdm13
MOUSE	99918	Q9Z2D6	Methyl-CpG-binding protein 2	Mecp2
MOUSE	107404	Q64336	T-box brain protein 1	Tbr1
MOUSE	109330	P97458	Homeobox protein prophet of Pit-1	Prop1
MOUSE	104555	P54841	Transcription factor MafB	Mafb
MOUSE	102812	Q924W9	Rhombotin-1	Lmo1
MOUSE	1925905	Q3UGC7	Eukaryotic translation initiation factor 3 subunit J-A	Eif3j1
MOUSE	97489	Q02650	Paired box protein Pax-5	Pax5
MOUSE	99526	Q61655	ATP-dependent RNA helicase DDX19A	Ddx19a
MOUSE	2446775	A2BI74	Protein Ssxb6 (Fragment)	Ssxb6
MOUSE	1919884	Q80VL1	Tudor and KH domain-containing protein	Tdrkh
MOUSE	2661424	Q8C8K3	Serine/arginine-rich splicing factor 12	Srsf12
