species	MGI	UniProtKB	gene	ID
MOUSE	1919711	Q7TMR0	Lysosomal Pro-X carboxypeptidase	Prcp
MOUSE	2449569	P59384	A disintegrin and metalloproteinase with thrombospondin motifs 15	Adamts15
MOUSE	107421	Q61139	Proprotein convertase subtilisin/kexin type 7	Pcsk7
MOUSE	97514	P29121	Proprotein convertase subtilisin/kexin type 4	Pcsk4
MOUSE	1261423	O89110	Caspase-8	Casp8
MOUSE	2389008	Q80T21	ADAMTS-like protein 4	Adamtsl4
MOUSE	97748	P16675	Lysosomal protective protein	Ctsa
MOUSE	1914047	Q9CPW0	Contactin-associated protein-like 2	Cntnap2
MOUSE	97620	P20918	Plasminogen	Plg
MOUSE	1913791	Q9CQU8	Mitochondrial inner membrane protease subunit 1	Immp1l
MOUSE	2181366	Q91VA3	Calpain-8	Capn8
MOUSE	1891837	Q9JHH6	Carboxypeptidase B2	Cpb2
MOUSE	1329025	O35474	EGF-like repeat and discoidin I-like domain-containing protein 3	Edil3
MOUSE	1921899	Q8R4H4	Carboxypeptidase A5	Cpa5
MOUSE	2445089	Q8K2L8	Trafficking protein particle complex subunit 12	Trappc12
MOUSE	1346053	Q9EQF2	Kell blood group glycoprotein homolog	Kel
MOUSE	2448566	S4R213	Protein Lactbl1	Lactbl1
MOUSE	1096391	Q9CS84	Neurexin-1	Nrxn1
MOUSE	1891012	Q80YC5	Coagulation factor XII	F12
MOUSE	3646208	D3YUB6	BTB/POZ domain-containing protein 8	Btbd8
MOUSE	97898	P06281	Renin-1	Ren1
MOUSE	96964	Q61847	Meprin A subunit beta	Mep1b
MOUSE	104849	Q61476	Complement decay-accelerating factor transmembrane isoform	Cd55b
MOUSE	5000466	P97449	Aminopeptidase N	Anpep
MOUSE	95292	P36368	Epidermal growth factor-binding protein type B	Egfbp2
MOUSE	2386139	Q9EPX2	Papilin	Papln
MOUSE	1346321	Q9R001	A disintegrin and metalloproteinase with thrombospondin motifs 5	Adamts5
MOUSE	1916790	Q99M20	Kallikrein related-peptidase 10	Klk10
MOUSE	2149738	D3Z741	Protein 4930444G20Rik	4930444G20Rik
MOUSE	1353421	Q9R0R1	Melanotransferrin	Mfi2
MOUSE	2675494	Q920S1	Granzyme N	Gzmn
MOUSE	1354381	Q9JIQ8	Transmembrane protease serine 2	Tmprss2
MOUSE	101932	Q00493	Carboxypeptidase E	Cpe
MOUSE	2444684	Q8BP97	Rhomboid domain-containing protein 3	Rhbdd3
MOUSE	106210	Q60997	Deleted in malignant brain tumors 1 protein	Dmbt1
MOUSE	95706	Q60928	Gamma-glutamyltranspeptidase 1	Ggt1
MOUSE	95291	P15948	Kallikrein 1-related peptidase b22	Klk1b22
MOUSE	1861434	Q9R013	Cathepsin F	Ctsf
MOUSE	1923469	Q9D365	Signal peptidase complex subunit 3	Spcs3
MOUSE	1355313	Q8CG16	Complement C1r-A subcomponent	C1ra
MOUSE	2183572	Q99P47	Contactin-associated protein-like 4	Cntnap4
MOUSE	102850	P15947	Kallikrein-1	Klk1
MOUSE	95314	Q91X79	Chymotrypsin-like elastase family member 1	Cela1
MOUSE	2665280	Q8VIF2	Serine protease 42	Prss42
MOUSE	1347356	Q8C9W3	A disintegrin and metalloproteinase with thrombospondin motifs 2	Adamts2
MOUSE	2686922	Q6V595	Kelch-like protein 6	Klhl6
MOUSE	99549	O08643	Granzyme M (Precursor)	Gzmm
MOUSE	87884	P23578	Acrosin	Acr
MOUSE	97511	P63239	Neuroendocrine convertase 1	Pcsk1
MOUSE	1933765	P58544	BTB/POZ domain-containing protein 1	Btbd1
MOUSE	1933395	Q9EP89	"Serine beta-lactamase-like protein LACTB, mitochondrial"	Lactb
MOUSE	1917824	Q80V42	Carboxypeptidase M	Cpm
MOUSE	1919311	Q8BXQ6	Aminopeptidase O	Aopep
MOUSE	892022	Q61759	Kallikrein 1-related peptidase b21	Klk1b21
MOUSE	104873	Q64191	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	Aga
MOUSE	2443796	Q8CGY7	Protein Cd163l1 (Precursor)	Cd163l1
MOUSE	96544	P29452	Caspase-1	Casp1
MOUSE	1914263	Q9D8H7	"Metalloendopeptidase OMA1, mitochondrial"	Oma1
MOUSE	109284	Q61144	Presenilin-2	Psen2
MOUSE	1915935	Q9D106	"Pepsinogen 5, group I"	Pga5
MOUSE	103107	O88947	Coagulation factor X	F10
MOUSE	88479	P15089	Mast cell carboxypeptidase A	Cpa3
MOUSE	102756	Q9QUK9	MCG15083	Try5
MOUSE	1339958	Q9WTM4	Nuclear factor erythroid 2-related factor 3	Nfe2l3
MOUSE	2179942	E9PX39	Protein Adamts14	Adamts14
MOUSE	99421	Q61985	Nuclear factor erythroid 2-related factor 1	Nfe2l1
MOUSE	2445082	Q8BU25	Inactive serine protease PAMR1	Pamr1
MOUSE	2443967	Q8BVG4	Dipeptidyl peptidase 9	Dpp9
MOUSE	88559	Q9CR35	Chymotrypsinogen B	Ctrb1
MOUSE	2429637	Q69Z28	A disintegrin and metalloproteinase with thrombospondin motifs 16	Adamts16
MOUSE	88233	E9Q6D8	Protein C6	C6
MOUSE	2137383	Q923L3	CUB and sushi domain-containing protein 1	Csmd1
MOUSE	3045264	A2A6C4	Signal peptide peptidase-like 2C	Sppl2c
MOUSE	2679229	Q3UP87	Neutrophil elastase	Elane
MOUSE	1336895	P57791	CAAX prenyl protease 2	Rce1
MOUSE	1338030	Q9R1S8	Calpain-7	Capn7
MOUSE	3608323	Q8BW11	Putative inactive serine protease 58	Prss58
MOUSE	2443685	B3F5L4	Protein 5830411N06Rik	5830411N06Rik
MOUSE	3644687	E9PXF3	Protein Gm5415	Gm5415
MOUSE	1920004	A2AWP8	Rho guanine nucleotide exchange factor 10-like protein	Arhgef10l
MOUSE	1922356	B1AWX5	Protein 4930519F16Rik (Fragment)	4930519F16Rik
MOUSE	1346044	Q9WVM6	Tolloid-like protein 2	Tll2
MOUSE	99481	Q91Y47	Coagulation factor XI	F11
MOUSE	1913772	Q9ESW8	Pyroglutamyl-peptidase 1	Pgpep1
MOUSE	1916847	Q8JZQ2	AFG3-like protein 2	Afg3l2
MOUSE	2140260	Q80W65	Proprotein convertase subtilisin/kexin type 9	Pcsk9
MOUSE	2445217	B7ZMP1	Probable Xaa-Pro aminopeptidase 3	Xpnpep3
MOUSE	3646013	Q0V8T7	Contactin-associated protein like 5-3	Cntnap5c
MOUSE	1312921	O08738	Caspase-6	Casp6
MOUSE	1859615	Q3U2S4	OTU domain-containing protein 5	Otud5
MOUSE	1918085	Q9ER10	Brain-specific serine protease 4	Prss22
MOUSE	1921763	Q8BNJ6	Neuropilin and tolloid-like protein 2	Neto2
MOUSE	88041	Q8R146	Acylamino-acid-releasing enzyme	Apeh
MOUSE	3644612	E9Q7Q1	Uncharacterized protein	Gm5407
MOUSE	1916042	Q8R054	Sushi repeat-containing protein SRPX2	Srpx2
MOUSE	1918294	Q5U452	MCG14616	2810408M09Rik
MOUSE	3615275	Q8CGR6	Epidermal growth factor-binding protein type B	Klk13
MOUSE	109283	P12815	Programmed cell death protein 6	Pdcd6
MOUSE	107823	P55097	Cathepsin K	Ctsk
MOUSE	1277152	Q5XJY4	"Presenilins-associated rhomboid-like protein, mitochondrial"	Parl
MOUSE	1355312	Q8CG14	Complement C1s-A subcomponent	C1sa
MOUSE	107489	P70669	Metalloendopeptidase homolog PEX	Phex
MOUSE	3027905	Q6YCH1	TD and POZ domain-containing protein 5	Tdpoz5
MOUSE	1858201	O54991	Contactin-associated protein 1	Cntnap1
MOUSE	2180001	B1AVD2	Protein Xpnpep2	Xpnpep2
MOUSE	1933831	E9PUS2	Protein Btbd2	Btbd2
MOUSE	96837	P08071	Lactotransferrin	Ltf
MOUSE	109253	P13366	Granzyme G	Gzmg
MOUSE	97515	Q04592	Proprotein convertase subtilisin/kexin type 5	Pcsk5
MOUSE	2149952	Q99MS4	Serine protease 29	Prss29
MOUSE	3645677	Q3UT66	Protein Gm4858	Gm4858
MOUSE	1197012	Q640N1	Adipocyte enhancer-binding protein 1	Aebp1
MOUSE	2668347	Q8K182	Complement component C8 alpha chain	C8a
MOUSE	97899	P00796	Renin-2	Ren2
MOUSE	1935121	Q6P1D5	Seizure 6-like protein	Sez6l
MOUSE	1920629	Q91ZV3	"Discoidin, CUB and LCCL domain-containing protein 2"	Dcbld2
MOUSE	3588195	E9Q4D1	Protein Adamts17	Adamts17
MOUSE	2685789	Q3UW68	Calpain-13	Capn13
MOUSE	1349477	Q9WUR0	Protein Tinag	Tinag
MOUSE	2684822	Q76HL1	Protein Prss43	Prss43
MOUSE	2442348	Q8BHM9	Transmembrane protease serine 11F	Tmprss11f
MOUSE	3027903	Q717B4	TD and POZ domain-containing protein 3	Tdpoz3
MOUSE	2138351	Q8BH32	Sushi domain-containing protein 4	Susd4
MOUSE	1916867	Q8K411	"Presequence protease, mitochondrial"	Pitrm1
MOUSE	107341	O70370	Cathepsin S	Ctss
MOUSE	107739	P70677	Caspase-3	Casp3
MOUSE	88476	Q61147	Ceruloplasmin	Cp
MOUSE	96836	P24527	Leukotriene A-4 hydrolase	Lta4h
MOUSE	3779804	Q8CFG9	Complement C1r-B subcomponent	C1rb
MOUSE	1915118	Q9CQ52	Chymotrypsin-like elastase family member 3B	Cela3b
MOUSE	1346336	Q91VE3	Kallikrein-7	Klk7
MOUSE	2386401	V9GX34	Protein Csmd2 (Fragment)	Csmd2
MOUSE	2444058	Q8BZ10	Transmembrane protease serine 11G	Tmprss11g
MOUSE	2139883	E9Q8X5	Protein Zbtb10	Zbtb10
MOUSE	1343327	Q61955	Kallikrein-8	Klk8
MOUSE	88383	Q06194	Coagulation factor VIII	F8
MOUSE	88380	P19221	Prothrombin	F2
MOUSE	1339949	Q8BNJ2	A disintegrin and metalloproteinase with thrombospondin motifs 4	Adamts4
MOUSE	107876	Q9CZ13	"Cytochrome b-c1 complex subunit 1, mitochondrial"	Uqcrc1
MOUSE	95293	P15949	Kallikrein 1-related peptidase b9	Klk1b9
MOUSE	1891884	Q9JHR9	Nuclear receptor-interacting protein 2	Nrip2
MOUSE	1933403	Q9EQH2	Endoplasmic reticulum aminopeptidase 1	Erap1
MOUSE	2135611	Q8BPT6	Mitochondrial inner membrane protease subunit 2	Immp2l
MOUSE	2445054	P59110	Sentrin-specific protease 1	Senp1
MOUSE	1915271	Q8R164	Valacyclovir hydrolase	Bphl
MOUSE	2686228	Q6IE26	Epoxide hydrolase 4	Ephx4
MOUSE	1924107	Q2M2N2	Speckle-type POZ protein-like	Spopl
MOUSE	2660628	P59511	A disintegrin and metalloproteinase with thrombospondin motifs 20	Adamts20
MOUSE	1917728	A6H611	Mitochondrial intermediate peptidase	Mipep
MOUSE	98839	Q9Z1R9	MCG124046	Prss1
MOUSE	96080	P26928	Hepatocyte growth factor-like protein	Mst1
MOUSE	1918645	Q8BZE1	Putative DMBT1-like protein	unassigned
MOUSE	892018	P07628	Kallikrein 1-related peptidase b8	Klk1b8
MOUSE	3046414	Q6HA09	Astacin-like metalloendopeptidase	Astl
MOUSE	1925843	Q9JJR9	Nuclear receptor-interacting protein 3	Nrip3
MOUSE	1100859	O08688	Calpain-5	Capn5
MOUSE	1201386	Q8BHG1	Nardilysin	Nrd1
MOUSE	88385	P06909	Complement factor H	Cfh
MOUSE	2451097	Q8BUG2	Beta-Ala-His dipeptidase	Cndp1
MOUSE	104850	Q61475	"Complement decay-accelerating factor, GPI-anchored"	Cd55
MOUSE	3521861	Q1JRP2	Neurobin	Tmprss11c
MOUSE	2384877	Q8VCA5	Transmembrane protease serine 4	Tmprss4
MOUSE	3036260	A2RT60	Serine protease HTRA4	Htra4
MOUSE	1918642	F7D4R8	Protein 5430401F13Rik (Fragment)	5430401F13Rik
MOUSE	102897	F6XJP7	Protein Pcsk6	Pcsk6
MOUSE	87931	P03953	Complement factor D	Cfd
MOUSE	2385295	Q4V9Z5	Seizure 6-like protein 2	Sez6l2
MOUSE	1913809	Q9CPW9	"Methionine aminopeptidase 1D, mitochondrial"	Metap1d
MOUSE	1346063	Q9Z2A9	Gamma-glutamyltransferase 5	Ggt5
MOUSE	1338881	P56677	Suppressor of tumorigenicity 14 protein homolog	St14
MOUSE	2450123	Q8BJR6	Serine protease 27	Prss27
MOUSE	1923951	Q3SYP2	Chymotrypsin-C	Ctrc
MOUSE	2442042	Q8C255	Dipeptidase 2	Dpep2
MOUSE	1924863	Q5K2P8	Polyserase-2	Prss36
MOUSE	2442596	Q8CB27	Ubiquitin thioesterase OTU1	Yod1
MOUSE	108420	Q60795	Nuclear factor erythroid 2-related factor 2	Nfe2l2
MOUSE	1916139	Q8R1K1	Ubiquitin-associated domain-containing protein 2	Ubac2
MOUSE	2442409	Q6NXK7	Inactive dipeptidyl peptidase 10	Dpp10
MOUSE	88478	Q7TPZ8	Carboxypeptidase A1	Cpa1
MOUSE	1915918	Q9D140	Kallikrein 1-related peptidase b5	Klk5
MOUSE	3643869	L7N229	Protein Gm4778	Gm4778
MOUSE	1917364	A2BFE8	Protein Prrg1	Prrg1
MOUSE	1917452	Q3ULP7	Protein Ctsll3	Ctsll3
MOUSE	1919025	Q9DBD0	Inhibitor of carbonic anhydrase	Ica
MOUSE	2652890	Q571E5	Serine protease 53	Prss53
MOUSE	1917016	Q7TMJ8	Phosphoinositide-3-kinase-interacting protein 1	Pik3ip1
MOUSE	109365	O09043	Napsin-A	Napsa
MOUSE	1277950	Q8C3Q9	Caspase-9	Casp9
MOUSE	3605549	G3UZ78	Androglobin	Adgb
MOUSE	1920328	Q9CXT8	Mitochondrial-processing peptidase subunit beta	Pmpcb
MOUSE	1916761	B2RVZ0	Kallikrein related-peptidase 12	Klk12
MOUSE	2442211	Q8BGN6	Transmembrane gamma-carboxyglutamic acid protein 4	Prrg4
MOUSE	891982	P04071	Kallikrein 1-related peptidase b16	Klk1b16
MOUSE	3027904	Q6YCH2	TD and POZ domain-containing protein 4	Tdpoz4
MOUSE	1929076	Q9R118	Serine protease HTRA1	Htra1
MOUSE	1925694	Q9CWB5	Pyroglutamyl-peptidase 1-like protein	Pgpep1l
MOUSE	106096	P97873	Lysyl oxidase homolog 1	Loxl1
MOUSE	1336194	O89023	Tripeptidyl-peptidase 1	Tpp1
MOUSE	2685355	Q3V1H3	Hephaestin-like protein 1	Hephl1
MOUSE	96937	P11034	Mast cell protease 1	Mcpt1
MOUSE	1335092	O89094	Caspase-14	Casp14
MOUSE	98279	P18337	L-selectin	Sell
MOUSE	88263	O35350	Calpain-1 catalytic subunit	Capn1
MOUSE	1918022	Q8CDC7	Zinc finger and BTB domain-containing protein 9	Zbtb9
MOUSE	1270857	A6H6T1	Serine protease 40	Prss40
MOUSE	109255	P11033	Granzyme D	Gzmd
MOUSE	1924989	Q8BLI0	ADAMTS-like protein 1	Adamtsl1
MOUSE	2385211	Q922G2	Protein FAM76A	Fam76a
MOUSE	1270863	Q9QUR6	Prolyl endopeptidase	Prep
MOUSE	1351603	Q9JLI3	Membrane metallo-endopeptidase-like 1	Mmel1
MOUSE	891981	P36369	Kallikrein 1-related peptidase b26	Klk1b26
MOUSE	97479	Q8R4K8	Pappalysin-1	Pappa
MOUSE	1913304	Q9D1A2	Cytosolic non-specific dipeptidase	Cndp2
MOUSE	2667157	G3X9P9	MCG1048453	AF366264
MOUSE	104965	Q60736	Zona pellucida sperm-binding protein 3 receptor	Zp3r
MOUSE	106250	Q3UVK0	Endoplasmic reticulum metallopeptidase 1	Ermp1
MOUSE	2385906	Q3ULF4	Paraplegin	Spg7
MOUSE	1931870	Q9Z0G7	Zinc finger and BTB domain-containing protein 22	Zbtb22
MOUSE	96943	Q02844	Tryptase	Tpsab1
MOUSE	96963	P28825	Meprin A subunit alpha	Mep1a
MOUSE	1918946	Q8R0P8	Abhydrolase domain-containing protein 8	Abhd8
MOUSE	1347348	D3Z1A5	Protein Adamts6	Adamts6
MOUSE	2660692	Q3UZ09	Complement C1r subcomponent-like protein	C1rl
MOUSE	88340	P13379	T-cell surface glycoprotein CD5	Cd5
MOUSE	1915894	Q922Q6	Alpha/beta hydrolase domain-containing protein 14A	Abhd14a
MOUSE	2149951	Q924N9	Serine protease 28	Prss28
MOUSE	2387178	Q8BFQ8	Parkinson disease 7 domain-containing protein 1	Pddc1
MOUSE	1921867	Q920A5	Retinoid-inducible serine carboxypeptidase	Scpep1
MOUSE	1332240	Q9Z0Z4	Hephaestin	Heph
MOUSE	104328	Q6PIX5	Inactive rhomboid protein 1	Rhbdf1
MOUSE	109267	P04187	"Granzyme B(G,H)"	Gzmb
MOUSE	1921465	E9PXD1	Protein Prss51	Prss51
MOUSE	3045251	Q7M761	Ovochymase-2	Ovch2
MOUSE	1860275	Q9JI81	Cathepsin 2	Cts8
MOUSE	1101356	Q80Z60	Endothelin-converting enzyme 2	Ece2
MOUSE	3608413	A2AGA4	Rhomboid-related protein 2	Rhbdl2
MOUSE	1337004	Q9Z175	Lysyl oxidase homolog 3	Loxl3
MOUSE	2135874	Q9JJN5	Carboxypeptidase N catalytic chain	Cpn1
MOUSE	97004	Q61391	Neprilysin	Mme
MOUSE	1096389	Q6P9K9	Neurexin-3	Nrxn3
MOUSE	1352490	Q6J756	Calpain-11	Capn11
MOUSE	1924709	A1L0T3	Scavenger receptor cysteine-rich domain-containing group B protein	Srcrb4d
MOUSE	1202717	P49769	Presenilin-1	Psen1
MOUSE	1918521	Q8VC88	Grancalcin	Gca
MOUSE	1917244	A2ADY9	Protein DDI1 homolog 2	Ddi2
MOUSE	2146046	Q811B3	A disintegrin and metalloproteinase with thrombospondin motifs 12	Adamts12
MOUSE	98280	Q01102	P-selectin	Selp
MOUSE	102849	P26262	Plasma kallikrein	Klkb1
MOUSE	1920412	B1AZ99	OTU domain-containing protein 3	Otud3
MOUSE	94919	P28843	Dipeptidyl peptidase 4	Dpp4
MOUSE	109553	P97821	Dipeptidyl peptidase 1	Ctsc
MOUSE	1918568	Q9DC61	Mitochondrial-processing peptidase subunit alpha	Pmpca
MOUSE	1261780	P43430	Mast cell protease 8	Mcpt8
MOUSE	2137617	Q99JR5	Tubulointerstitial nephritis antigen-like	Tinagl1
MOUSE	88492	P98064	Mannan-binding lectin serine protease 1	Masp1
MOUSE	1197523	P97435	Enteropeptidase	Tmprss15
MOUSE	88563	P28293	Cathepsin G	Ctsg
MOUSE	1923055	Q91YP2	"Neurolysin, mitochondrial"	Nln
MOUSE	2180216	Q8R4I7	Neuropilin and tolloid-like protein 1	Neto1
MOUSE	102758	Q792Z0	Protein Prss3	Prss3
MOUSE	88558	Q9ER05	Chymopasin	Ctrl
MOUSE	2139365	Q7TQI7	Ankyrin repeat and BTB/POZ domain-containing protein 2	Abtb2
MOUSE	88487	Q8R4V4	Carboxypeptidase Z	Cpz
MOUSE	1920930	Q9CWH1	Zinc finger and BTB domain-containing protein 8A	Zbtb8a
MOUSE	94917	P31428	Dipeptidase 1	Dpep1
MOUSE	1920076	Q80XP8	Protein FAM76B	Fam76b
MOUSE	88058	Q01339	Beta-2-glycoprotein 1	Apoh
MOUSE	103149	Q9R0P9	Ubiquitin carboxyl-terminal hydrolase isozyme L1	Uchl1
MOUSE	1915612	Q8VEK2	Rhomboid domain-containing protein 2	Rhbdd2
MOUSE	1922252	Q3V0Q7	Transmembrane protease serine 12	Tmprss12
MOUSE	892021	Q61754	Kallikrein 1-related peptidase b24	Klk1b24
MOUSE	1934569	Q9Z100	Probable carboxypeptidase X1	Cpxm1
MOUSE	1923741	Q8VCR7	Alpha/beta hydrolase domain-containing protein 14B	Abhd14b
MOUSE	3644284	E0CXI6	Protein Gm5286	Gm5286
MOUSE	1346542	P56818	Beta-secretase 1	Bace1
MOUSE	104745	Q7TSK2	Seizure protein 6	Sez6
MOUSE	2155445	Q8K1T0	Transmembrane protease serine 3	Tmprss3
MOUSE	1918287	Q14BX2	Serine protease 55	Prss55
MOUSE	96942	P21845	Tryptase beta-2	Tpsb2
MOUSE	1202881	P70412	CUB and zona pellucida-like domain-containing protein 1	Cuzd1
MOUSE	95316	P05208	Chymotrypsin-like elastase family member 2A	Cela2a
MOUSE	1919104	Q9DA79	Dipeptidase 3	Dpep3
MOUSE	1916793	Q9D7J7	Calpain small subunit 2	Capns2
MOUSE	2137385	Q91ZF4	Cathepsin Q (Precursor)	Ctsq
MOUSE	1927235	Q9WTZ2	Membrane-bound transcription factor site-1 protease	Mbtps1
MOUSE	1919182	Q3V1F8	Epoxide hydrolase 3	Ephx3
MOUSE	88562	P18242	Cathepsin D	Ctsd
MOUSE	2442473	Q80WQ6	Inactive rhomboid protein 2	Rhbdf2
MOUSE	2684977	B7ZWD6	"Gene model 131, (NCBI)"	Cym
MOUSE	1343166	Q91Y82	"Kallikrein 6, isoform CRA_a"	Klk6
MOUSE	2447564	Q8CGR5	Kallikrein-14	Klk14
MOUSE	3612246	P69525	Transmembrane protease serine 9	Tmprss9
MOUSE	5142012	B8JJN0	Protein Gm20547	Gm20547
MOUSE	1858306	Q9R0M3	Sushi-repeat-containing protein SRPX	Srpx
MOUSE	1913798	D3Z689	"ADAMTS-like 5, isoform CRA_c"	Adamtsl5
MOUSE	2684853	Q3UQ41	Transmembrane protease serine 11A	Tmprss11a
MOUSE	1859181	Q9QXE5	Thymus-specific serine protease	Prss16
MOUSE	1929596	Q8R182	Transmembrane gamma-carboxyglutamic acid protein 2	Prrg2
MOUSE	3643181	D3Z3S5	Uncharacterized protein	Gm4744
MOUSE	1920876	Q9CPN7	Protein 1810009J06Rik	1810009J06Rik
MOUSE	893580	Q61096	Myeloblastin	Prtn3
MOUSE	3644685	Q6IE21	OTU domain-containing protein 6A	Otud6a
MOUSE	1355075	Q9JLG8	Calpain-15	Capn15
MOUSE	1206586	Q99PU7	Ubiquitin carboxyl-terminal hydrolase BAP1	Bap1
MOUSE	97512	P21661	Neuroendocrine convertase 2	Pcsk2
MOUSE	2135946	Q2VLH6	Scavenger receptor cysteine-rich type 1 protein M130	Cd163
MOUSE	96941	P21844	Chymase	Cma1
MOUSE	1100492	O35375	Neuropilin-2	Nrp2
MOUSE	1931256	Q9JLB4	Cubilin	Cubn
MOUSE	96079	Q08048	Hepatocyte growth factor	Hgf
MOUSE	3617840	Q504N0	Carboxypeptidase A2	Cpa2
MOUSE	1917064	E9Q409	Protein Prss32	Prss32
MOUSE	1919451	Q8K2H2	OTU domain-containing protein 6B	Otud6b
MOUSE	97611	P06869	Urokinase-type plasminogen activator	Plau
MOUSE	2135637	Q99LX0	Protein DJ-1	Park7
MOUSE	1098282	P06683	Complement component C9	C9
MOUSE	1913579	Q9D176	Sushi domain-containing protein 3	Susd3
MOUSE	1343085	Q6ZWS8	Speckle-type POZ protein	Spop
MOUSE	2682300	E9Q623	Protein BC051665	BC051665
MOUSE	3028499	G3UXC7	Protein Adamtsl3	Adamtsl3
MOUSE	1203290	O88174	Membrane cofactor protein	Cd46
MOUSE	3051647	E9PZ87	Protein Pappa2	Pappa2
MOUSE	1347346	Q68SA9	A disintegrin and metalloproteinase with thrombospondin motifs 7	Adamts7
MOUSE	87913	Q99JW2	Aminoacylase-1	Acy1
MOUSE	1920731	Q9D9G7	1700074P13Rik protein	1700074P13Rik
MOUSE	88384	P16294	Coagulation factor IX	F9
MOUSE	1915148	Q8BFY6	Peflin	Pef1
MOUSE	1928676	Q9JIY5	"Serine protease HTRA2, mitochondrial"	Htra2
MOUSE	1919017	Q9DBA6	Peroxisomal leader peptide-processing protease	Tysnd1
MOUSE	106923	Q62381	Tolloid-like protein 1	Tll1
MOUSE	96412	Q9JHR7	Insulin-degrading enzyme	Ide
MOUSE	1353468	P57110	A disintegrin and metalloproteinase with thrombospondin motifs 8	Adamts8
MOUSE	2449112	P58459	A disintegrin and metalloproteinase with thrombospondin motifs 10	Adamts10
MOUSE	1923727	Q8R4W6	Procollagen C-endopeptidase enhancer 2	Pcolce2
MOUSE	96968	Q07646	Mesoderm-specific transcript protein	Mest
MOUSE	99500	P34914	Bifunctional epoxide hydrolase 2	Ephx2
MOUSE	1914050	Q99PW4	TP53-regulating kinase	Tp53rk
MOUSE	892019	P00755	Kallikrein 1-related peptidase b1	Klk1b1
MOUSE	96817	P28301	Protein-lysine 6-oxidase	Lox
MOUSE	1354165	Q8C1A5	Thimet oligopeptidase	Thop1
MOUSE	2139628	Q8BM88	Cathepsin O	Ctso
MOUSE	98278	Q00690	E-selectin	Sele
MOUSE	107437	Q64691	Calpain-3	Capn3
MOUSE	1919335	Q6PEB4	"Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial"	Osgepl1
MOUSE	109608	P97321	Seprase	Fap
MOUSE	2384891	Q8VC82	Rhomboid-related protein 1	Rhbdl1
MOUSE	2685556	Q769J6	A disintegrin and metalloproteinase with thrombospondin motifs 13	Adamts13
MOUSE	1915938	Q8VD66	Abhydrolase domain-containing protein 4	Abhd4
MOUSE	105975	P04186	Complement factor B	Cfb
MOUSE	2449436	Q717B3	TD and POZ domain-containing protein 1	Tdpoz1
MOUSE	3780832	F6R7E8	Protein Gm2663	Gm2663
MOUSE	1355274	Q9JKB1	Ubiquitin carboxyl-terminal hydrolase isozyme L3	Uchl3
MOUSE	UniProtKB	Uncharacterized protein	unassigned	ortholog
MOUSE	2661234	Q80WM7	Serine protease 33	Prss33
MOUSE	892020	P15945	Kallikrein 1-related peptidase b5	Klk1b5
MOUSE	1330832	Q91WP0	Mannan-binding lectin serine protease 2	Masp2
MOUSE	97295	P29594	Caspase-2	Casp2
