index,humanid,mousesym,mouseid,humansym,"# This table looks like it was downloaded from BioMart, but Eric has foolishly lost track of the exact date and versions. "
53,ENSG00000004478,Fkbp4,ENSMUSG00000030357,FKBP4,
54,ENSG00000004487,Kdm1a,ENSMUSG00000036940,KDM1A,
55,ENSG00000004534,Rbm6,ENSMUSG00000032582,RBM6,
56,ENSG00000004660,Camkk1,ENSMUSG00000020785,CAMKK1,
57,ENSG00000004700,Recql,ENSMUSG00000030243,RECQL,
58,ENSG00000004766,Ccdc132,ENSMUSG00000001376,CCDC132,
59,ENSG00000004776,Hspb6,ENSMUSG00000036854,HSPB6,
60,ENSG00000004777,Arhgap33,ENSMUSG00000036882,ARHGAP33,
61,ENSG00000004779,Ndufab1,ENSMUSG00000030869,NDUFAB1,
62,ENSG00000004799,Pdk4,ENSMUSG00000019577,PDK4,
63,ENSG00000004809,Slc22a16,ENSMUSG00000019834,SLC22A16,
64,ENSG00000004838,Zmynd10,ENSMUSG00000010044,ZMYND10,
65,ENSG00000004846,Abcb5,ENSMUSG00000072791,ABCB5,
66,ENSG00000004848,Arx,ENSMUSG00000035277,ARX,
67,ENSG00000004864,Slc25a13,ENSMUSG00000015112,SLC25A13,
68,ENSG00000004866,St7,ENSMUSG00000029534,ST7,
69,ENSG00000004897,Cdc27,ENSMUSG00000020687,CDC27,
70,ENSG00000004939,Slc4a1,ENSMUSG00000006574,SLC4A1,
71,ENSG00000004948,Calcr,ENSMUSG00000023964,CALCR,
72,ENSG00000004961,Hccs,ENSMUSG00000031352,HCCS,
73,ENSG00000004975,Dvl2,ENSMUSG00000020888,DVL2,
74,ENSG00000005001,Prss22,ENSMUSG00000045027,PRSS22,
75,ENSG00000005007,Upf1,ENSMUSG00000058301,UPF1,
76,ENSG00000005020,Skap2,ENSMUSG00000059182,SKAP2,
77,ENSG00000005022,Slc25a5,ENSMUSG00000016319,SLC25A5,
78,ENSG00000005059,Ccdc109b,ENSMUSG00000027994,CCDC109B,
79,ENSG00000005073,Hoxa11,ENSMUSG00000038210,HOXA11,
80,ENSG00000005100,Dhx33,ENSMUSG00000040620,DHX33,
81,ENSG00000005102,Meox1,ENSMUSG00000001493,MEOX1,
82,ENSG00000005108,Thsd7a,ENSMUSG00000032625,THSD7A,
83,ENSG00000005156,Lig3,ENSMUSG00000020697,LIG3,
84,ENSG00000005175,Rpap3,ENSMUSG00000022466,RPAP3,
85,ENSG00000005187,Acsm3,ENSMUSG00000030935,ACSM3,
86,ENSG00000005189,2610020H08Rik,ENSMUSG00000030924,AC004381.6,
87,ENSG00000005194,Ciapin1,ENSMUSG00000031781,CIAPIN1,
88,ENSG00000005206,Sppl2b,ENSMUSG00000035206,SPPL2B,
89,ENSG00000005238,Fam214b,ENSMUSG00000036002,FAM214B,
90,ENSG00000005243,Copz2,ENSMUSG00000018672,COPZ2,
91,ENSG00000005249,Prkar2b,ENSMUSG00000002997,PRKAR2B,
92,ENSG00000005302,Msl3,ENSMUSG00000031358,MSL3,
93,ENSG00000005302,Msl3l2,ENSMUSG00000047669,MSL3,
94,ENSG00000005339,Crebbp,ENSMUSG00000022521,CREBBP,
95,ENSG00000005379,Bzrap1,ENSMUSG00000034156,BZRAP1,
96,ENSG00000005381,Mpo,ENSMUSG00000009350,MPO,
97,ENSG00000005421,Pon1,ENSMUSG00000002588,PON1,
98,ENSG00000005436,Gcfc2,ENSMUSG00000035125,GCFC2,
99,ENSG00000005448,Wdr54,ENSMUSG00000030032,WDR54,
100,ENSG00000005469,Crot,ENSMUSG00000003623,CROT,
101,ENSG00000005471,Abcb4,ENSMUSG00000042476,ABCB4,
102,ENSG00000005483,Kmt2e,ENSMUSG00000029004,KMT2E,
103,ENSG00000005486,Rhbdd2,ENSMUSG00000039917,RHBDD2,
104,ENSG00000005513,Sox8,ENSMUSG00000024176,SOX8,
105,ENSG00000005700,Ibtk,ENSMUSG00000035941,IBTK,
106,ENSG00000005801,Zfp874a,ENSMUSG00000069206,ZNF195,
107,ENSG00000005801,Zfp493,ENSMUSG00000090659,ZNF195,
108,ENSG00000005801,Zfp953,ENSMUSG00000098905,ZNF195,
109,ENSG00000005801,Zfp429,ENSMUSG00000078994,ZNF195,
110,ENSG00000005801,Zfp457,ENSMUSG00000055341,ZNF195,
111,ENSG00000005801,Zfp708,ENSMUSG00000058883,ZNF195,
112,ENSG00000005801,Zfp874b,ENSMUSG00000059839,ZNF195,
113,ENSG00000005801,Zfp65,ENSMUSG00000071281,ZNF195,
114,ENSG00000005801,Zfp455,ENSMUSG00000051037,ZNF195,
115,ENSG00000005801,Gm28557,ENSMUSG00000100235,ZNF195,
116,ENSG00000005801,Gm9894,ENSMUSG00000052909,ZNF195,
117,ENSG00000005801,Zfp456,ENSMUSG00000078995,ZNF195,
118,ENSG00000005801,Rslcan18,ENSMUSG00000074824,ZNF195,
119,ENSG00000005801,Zfp595,ENSMUSG00000057842,ZNF195,
120,ENSG00000005801,Zfp87,ENSMUSG00000097333,ZNF195,
121,ENSG00000005801,Zfp58,ENSMUSG00000071291,ZNF195,
122,ENSG00000005801,Rsl1,ENSMUSG00000058900,ZNF195,
123,ENSG00000005810,Mycbp2,ENSMUSG00000033004,MYCBP2,
124,ENSG00000005812,Fbxl3,ENSMUSG00000022124,FBXL3,
125,ENSG00000005844,Itgal,ENSMUSG00000030830,ITGAL,
126,ENSG00000005882,Pdk2,ENSMUSG00000038967,PDK2,
127,ENSG00000005884,Itga3,ENSMUSG00000001507,ITGA3,
128,ENSG00000005889,Zfx,ENSMUSG00000079509,ZFX,
129,ENSG00000005893,Lamp2,ENSMUSG00000016534,LAMP2,
130,ENSG00000005961,Itga2b,ENSMUSG00000034664,ITGA2B,
131,ENSG00000005981,Asb4,ENSMUSG00000042607,ASB4,
132,ENSG00000006007,Gde1,ENSMUSG00000033917,GDE1,
133,ENSG00000006015,2810428I15Rik,ENSMUSG00000058833,C19orf60,
134,ENSG00000006016,Crlf1,ENSMUSG00000007888,CRLF1,
135,ENSG00000006025,Osbpl7,ENSMUSG00000038534,OSBPL7,
136,ENSG00000006042,Tmem98,ENSMUSG00000035413,TMEM98,
137,ENSG00000006047,Ybx2,ENSMUSG00000018554,YBX2,
138,ENSG00000006059,Krt34,ENSMUSG00000043485,KRT33A,
139,ENSG00000006059,Krt33b,ENSMUSG00000057723,KRT33A,
140,ENSG00000006059,Krt31,ENSMUSG00000048981,KRT33A,
141,ENSG00000006059,Krt33a,ENSMUSG00000035592,KRT33A,
142,ENSG00000006062,Map3k14,ENSMUSG00000020941,MAP3K14,
143,ENSG00000006071,Abcc8,ENSMUSG00000040136,ABCC8,
144,ENSG00000006116,Cacng3,ENSMUSG00000066189,CACNG3,
145,ENSG00000006118,Tmem132a,ENSMUSG00000024736,TMEM132A,
146,ENSG00000006125,Ap2b1,ENSMUSG00000035152,AP2B1,
147,ENSG00000006128,Tac1,ENSMUSG00000061762,TAC1,
148,ENSG00000006194,Zfp263,ENSMUSG00000022529,ZNF263,
149,ENSG00000006210,Cx3cl1,ENSMUSG00000031778,CX3CL1,
150,ENSG00000006282,Spata20,ENSMUSG00000020867,SPATA20,
151,ENSG00000006283,Cacna1g,ENSMUSG00000020866,CACNA1G,
152,ENSG00000006327,Tnfrsf12a,ENSMUSG00000023905,TNFRSF12A,
153,ENSG00000006377,Dlx6,ENSMUSG00000029754,DLX6,
154,ENSG00000006432,Map3k9,ENSMUSG00000042724,MAP3K9,
155,ENSG00000006451,Rala,ENSMUSG00000008859,RALA,
156,ENSG00000006453,Baiap2l1,ENSMUSG00000038859,BAIAP2L1,
157,ENSG00000006459,Kdm7a,ENSMUSG00000042599,KDM7A,
158,ENSG00000006468,Etv1,ENSMUSG00000004151,ETV1,
159,ENSG00000006530,Agk,ENSMUSG00000029916,AGK,
160,ENSG00000006534,Aldh3b1,ENSMUSG00000024885,ALDH3B1,
161,ENSG00000006555,Ttc22,ENSMUSG00000034919,TTC22,
162,ENSG00000006576,Phtf2,ENSMUSG00000039987,PHTF2,
163,ENSG00000006606,Ccl26,ENSMUSG00000070464,CCL26,
164,ENSG00000006607,Farp2,ENSMUSG00000034066,FARP2,
165,ENSG00000006611,Ush1c,ENSMUSG00000030838,USH1C,
166,ENSG00000006625,Ggct,ENSMUSG00000002797,GGCT,
167,ENSG00000006634,Dbf4,ENSMUSG00000002297,DBF4,
168,ENSG00000006638,Tbxa2r,ENSMUSG00000034881,TBXA2R,
169,ENSG00000006652,Ifrd1,ENSMUSG00000001627,IFRD1,
170,ENSG00000006695,Cox10,ENSMUSG00000042148,COX10,
171,ENSG00000006704,Gtf2ird1,ENSMUSG00000023079,GTF2IRD1,
172,ENSG00000006712,Paf1,ENSMUSG00000003437,PAF1,
173,ENSG00000006715,Vps41,ENSMUSG00000041236,VPS41,
174,ENSG00000006740,Arhgap44,ENSMUSG00000033389,ARHGAP44,
175,ENSG00000006744,Elac2,ENSMUSG00000020549,ELAC2,
176,ENSG00000006747,Scin,ENSMUSG00000002565,SCIN,
177,ENSG00000006788,Myh13,ENSMUSG00000060180,MYH13,
178,ENSG00000006831,Adipor2,ENSMUSG00000030168,ADIPOR2,
179,ENSG00000006837,Cdkl3,ENSMUSG00000020389,CDKL3,
180,ENSG00000007001,Upp2,ENSMUSG00000026839,UPP2,
181,ENSG00000007038,Prss21,ENSMUSG00000024116,PRSS21,
182,ENSG00000007047,Mark4,ENSMUSG00000030397,MARK4,
183,ENSG00000007062,Prom1,ENSMUSG00000029086,PROM1,
184,ENSG00000007080,Ccdc124,ENSMUSG00000007721,CCDC124,
185,ENSG00000007168,Pafah1b1,ENSMUSG00000020745,PAFAH1B1,
186,ENSG00000007171,Nos2,ENSMUSG00000020826,NOS2,
187,ENSG00000007174,Dnah9,ENSMUSG00000056752,DNAH9,
188,ENSG00000007202,2610507B11Rik,ENSMUSG00000010277,KIAA0100,
189,ENSG00000007216,Slc13a2,ENSMUSG00000001095,SLC13A2,
190,ENSG00000007237,Gas7,ENSMUSG00000033066,GAS7,
191,ENSG00000007255,Trappc6a,ENSMUSG00000002043,TRAPPC6A,
192,ENSG00000007264,Matk,ENSMUSG00000004933,MATK,
193,ENSG00000007312,Cd79b,ENSMUSG00000040592,CD79B,
194,ENSG00000007314,Scn4a,ENSMUSG00000001027,SCN4A,
195,ENSG00000007341,St7l,ENSMUSG00000045576,ST7L,
196,ENSG00000007350,Tktl1,ENSMUSG00000031397,TKTL1,
197,ENSG00000007372,Pax6,ENSMUSG00000027168,PAX6,
198,ENSG00000007376,Rpusd1,ENSMUSG00000041199,RPUSD1,
199,ENSG00000007384,Rhbdf1,ENSMUSG00000020282,RHBDF1,
200,ENSG00000007392,Luc7l,ENSMUSG00000024188,LUC7L,
201,ENSG00000007402,Cacna2d2,ENSMUSG00000010066,CACNA2D2,
202,ENSG00000007516,Baiap3,ENSMUSG00000047507,BAIAP3,
203,ENSG00000007520,Tsr3,ENSMUSG00000015126,TSR3,
204,ENSG00000007541,Pigq,ENSMUSG00000025728,PIGQ,
205,ENSG00000007545,Cramp1l,ENSMUSG00000038002,CRAMP1L,
206,ENSG00000007866,Tead3,ENSMUSG00000002249,TEAD3,
207,ENSG00000007908,Sele,ENSMUSG00000026582,SELE,
208,ENSG00000007923,Dnajc11,ENSMUSG00000039768,DNAJC11,
209,ENSG00000007933,Fmo3,ENSMUSG00000026691,FMO3,
210,ENSG00000007944,Mylip,ENSMUSG00000038175,MYLIP,
211,ENSG00000007952,Nox1,ENSMUSG00000031257,NOX1,
212,ENSG00000007968,E2f2,ENSMUSG00000018983,E2F2,
213,ENSG00000008018,Psmb1,ENSMUSG00000014769,PSMB1,
214,ENSG00000008056,Syn1,ENSMUSG00000037217,SYN1,
215,ENSG00000008083,Jarid2,ENSMUSG00000038518,JARID2,
216,ENSG00000008086,Cdkl5,ENSMUSG00000031292,CDKL5,
217,ENSG00000008118,Camk1g,ENSMUSG00000016179,CAMK1G,
218,ENSG00000008128,Cdk11b,ENSMUSG00000029062,CDK11A,
219,ENSG00000008130,Nadk,ENSMUSG00000029063,NADK,
220,ENSG00000008196,Tfap2b,ENSMUSG00000025927,TFAP2B,
221,ENSG00000008197,Tfap2d,ENSMUSG00000042596,TFAP2D,
222,ENSG00000008226,Dlec1,ENSMUSG00000038060,DLEC1,
223,ENSG00000008256,Cyth3,ENSMUSG00000018001,CYTH3,
224,ENSG00000008277,Adam22,ENSMUSG00000040537,ADAM22,
225,ENSG00000008282,Sypl,ENSMUSG00000020570,SYPL1,
226,ENSG00000008283,Cyb561,ENSMUSG00000019590,CYB561,
227,ENSG00000008294,Spag9,ENSMUSG00000020859,SPAG9,
228,ENSG00000008300,Celsr3,ENSMUSG00000023473,CELSR3,
229,ENSG00000008311,Aass,ENSMUSG00000029695,AASS,
230,ENSG00000008323,Plekhg6,ENSMUSG00000038167,PLEKHG6,
231,ENSG00000008324,Deb1,ENSMUSG00000032526,SS18L2,
232,ENSG00000008382,Mpnd,ENSMUSG00000003199,MPND,
233,ENSG00000008394,Mgst1,ENSMUSG00000008540,MGST1,
234,ENSG00000008405,Cry1,ENSMUSG00000020038,CRY1,
235,ENSG00000008438,Pglyrp1,ENSMUSG00000030413,PGLYRP1,
236,ENSG00000008441,Nfix,ENSMUSG00000001911,NFIX,
237,ENSG00000008513,St3gal1,ENSMUSG00000013846,ST3GAL1,
238,ENSG00000008516,Mmp25,ENSMUSG00000023903,MMP25,
239,ENSG00000008710,Pkd1,ENSMUSG00000032855,PKD1,
240,ENSG00000008735,Mapk8ip2,ENSMUSG00000022619,MAPK8IP2,
241,ENSG00000008838,Med24,ENSMUSG00000017210,MED24,
242,ENSG00000008853,Rhobtb2,ENSMUSG00000022075,RHOBTB2,
243,ENSG00000008869,Heatr5b,ENSMUSG00000039414,HEATR5B,
244,ENSG00000008952,Sec62,ENSMUSG00000027706,SEC62,
245,ENSG00000008988,Rps20,ENSMUSG00000028234,RPS20,
246,ENSG00000009307,Csde1,ENSMUSG00000068823,CSDE1,
247,ENSG00000009335,Ube3c,ENSMUSG00000039000,UBE3C,
248,ENSG00000009413,Rev3l,ENSMUSG00000019841,REV3L,
249,ENSG00000009694,Tenm1,ENSMUSG00000016150,TENM1,
250,ENSG00000009709,Pax7,ENSMUSG00000028736,PAX7,
251,ENSG00000009724,Masp2,ENSMUSG00000028979,MASP2,
252,ENSG00000009765,Iyd,ENSMUSG00000019762,IYD,
253,ENSG00000009780,Fam76a,ENSMUSG00000028878,FAM76A,
254,ENSG00000009790,Traf3ip3,ENSMUSG00000037318,TRAF3IP3,
255,ENSG00000009830,Pomt2,ENSMUSG00000034126,POMT2,
256,ENSG00000009844,Vta1,ENSMUSG00000019868,VTA1,
257,ENSG00000009950,Mlxipl,ENSMUSG00000005373,MLXIPL,
258,ENSG00000009954,Baz1b,ENSMUSG00000002748,BAZ1B,
259,ENSG00000010017,Ranbp9,ENSMUSG00000038546,RANBP9,
260,ENSG00000010072,Sprtn,ENSMUSG00000031986,SPRTN,
261,ENSG00000010165,Mettl13,ENSMUSG00000026694,METTL13,
262,ENSG00000010244,Zfp207,ENSMUSG00000017421,ZNF207,
263,ENSG00000010256,Uqcrc1,ENSMUSG00000025651,UQCRC1,
264,ENSG00000010270,Stard3nl,ENSMUSG00000003062,STARD3NL,
265,ENSG00000010278,Cd9,ENSMUSG00000030342,CD9,
266,ENSG00000010282,Hhatl,ENSMUSG00000032523,HHATL,
267,ENSG00000010292,Ncapd2,ENSMUSG00000038252,NCAPD2,
268,ENSG00000010295,Iffo1,ENSMUSG00000038271,IFFO1,
269,ENSG00000010295,Iffo1,ENSMUSG00000103627,IFFO1,
270,ENSG00000010310,Gipr,ENSMUSG00000030406,GIPR,
271,ENSG00000010318,Phf7,ENSMUSG00000021902,PHF7,
272,ENSG00000010319,Sema3g,ENSMUSG00000021904,SEMA3G,
273,ENSG00000010322,Nisch,ENSMUSG00000021910,NISCH,
274,ENSG00000010327,Stab1,ENSMUSG00000042286,STAB1,
275,ENSG00000010361,Fuz,ENSMUSG00000011658,FUZ,
276,ENSG00000010379,Slc6a13,ENSMUSG00000030108,SLC6A13,
277,ENSG00000010404,Ids,ENSMUSG00000035847,IDS,
278,ENSG00000010438,Gm10334,ENSMUSG00000071517,PRSS3,
279,ENSG00000010438,Try10,ENSMUSG00000071521,PRSS3,
280,ENSG00000010438,Try4,ENSMUSG00000054106,PRSS3,
281,ENSG00000010438,Try5,ENSMUSG00000036938,PRSS3,
282,ENSG00000010438,Prss3,ENSMUSG00000071519,PRSS3,
283,ENSG00000010438,Prss1,ENSMUSG00000062751,PRSS3,
284,ENSG00000010438,Prss2,ENSMUSG00000057163,PRSS3,
285,ENSG00000010438,Gm5771,ENSMUSG00000058119,PRSS3,
286,ENSG00000010610,Cd4,ENSMUSG00000023274,CD4,
287,ENSG00000010626,Lrrc23,ENSMUSG00000030125,LRRC23,
288,ENSG00000010671,Btk,ENSMUSG00000031264,BTK,
289,ENSG00000010704,Hfe,ENSMUSG00000006611,HFE,
290,ENSG00000010803,Scmh1,ENSMUSG00000000085,SCMH1,
291,ENSG00000010810,Fyn,ENSMUSG00000019843,FYN,
292,ENSG00000010818,Hivep2,ENSMUSG00000015501,HIVEP2,
293,ENSG00000010932,Fmo1,ENSMUSG00000040181,FMO1,
294,ENSG00000011007,Tceb3,ENSMUSG00000028668,TCEB3,
295,ENSG00000011009,Lypla2,ENSMUSG00000028670,LYPLA2,
296,ENSG00000011021,Clcn6,ENSMUSG00000029016,CLCN6,
297,ENSG00000011028,Mrc2,ENSMUSG00000020695,MRC2,
298,ENSG00000011052,Nme1,ENSMUSG00000037601,NME2,
299,ENSG00000011083,Slc6a7,ENSMUSG00000052026,SLC6A7,
300,ENSG00000011105,Tspan9,ENSMUSG00000030352,TSPAN9,
301,ENSG00000011114,Btbd7,ENSMUSG00000041702,BTBD7,
302,ENSG00000011132,Apba3,ENSMUSG00000004931,APBA3,
303,ENSG00000011143,Mks1,ENSMUSG00000034121,MKS1,
304,ENSG00000011198,Abhd5,ENSMUSG00000032540,ABHD5,
305,ENSG00000011243,Akap8l,ENSMUSG00000002625,AKAP8L,
306,ENSG00000011258,Mbtd1,ENSMUSG00000059474,MBTD1,
307,ENSG00000011260,Utp18,ENSMUSG00000054079,UTP18,
308,ENSG00000011275,Rnf216,ENSMUSG00000045078,RNF216,
309,ENSG00000011295,Ttc19,ENSMUSG00000042298,TTC19,
310,ENSG00000011304,Ptbp1,ENSMUSG00000006498,PTBP1,
311,ENSG00000011332,Dpf1,ENSMUSG00000030584,DPF1,
312,ENSG00000011347,Syt7,ENSMUSG00000024743,SYT7,
313,ENSG00000011376,Lars2,ENSMUSG00000035202,LARS2,
314,ENSG00000011405,Pik3c2a,ENSMUSG00000030660,PIK3C2A,
315,ENSG00000011422,Plaur,ENSMUSG00000046223,PLAUR,
316,ENSG00000011426,Anln,ENSMUSG00000036777,ANLN,
317,ENSG00000011451,Wiz,ENSMUSG00000024050,WIZ,
318,ENSG00000011454,Rabgap1,ENSMUSG00000035437,RABGAP1,
319,ENSG00000011465,Dcn,ENSMUSG00000019929,DCN,
320,ENSG00000011478,Qpctl,ENSMUSG00000030407,QPCTL,
321,ENSG00000011485,Ppp5c,ENSMUSG00000003099,PPP5C,
322,ENSG00000011523,Cep68,ENSMUSG00000044066,CEP68,
323,ENSG00000011566,Map4k3,ENSMUSG00000024242,MAP4K3,
324,ENSG00000011590,Zbtb32,ENSMUSG00000006310,ZBTB32,
325,ENSG00000011600,Tyrobp,ENSMUSG00000030579,TYROBP,
326,ENSG00000011638,Tmem159,ENSMUSG00000030917,TMEM159,
327,ENSG00000011677,Gabra3,ENSMUSG00000031343,GABRA3,
328,ENSG00000012048,Brca1,ENSMUSG00000017146,BRCA1,
329,ENSG00000012061,Ercc1,ENSMUSG00000003549,ERCC1,
330,ENSG00000012124,Cd22,ENSMUSG00000030577,CD22,
331,ENSG00000012171,Sema3b,ENSMUSG00000057969,SEMA3B,
332,ENSG00000012174,Mbtps2,ENSMUSG00000046873,MBTPS2,
333,ENSG00000012211,Prickle3,ENSMUSG00000031145,PRICKLE3,
334,ENSG00000012223,Ltf,ENSMUSG00000032496,LTF,
335,ENSG00000012232,Extl3,ENSMUSG00000021978,EXTL3,
336,ENSG00000012504,Nr1h4,ENSMUSG00000047638,NR1H4,
337,ENSG00000012660,Elovl5,ENSMUSG00000032349,ELOVL5,
338,ENSG00000012779,Alox5,ENSMUSG00000025701,ALOX5,
339,ENSG00000012817,Kdm5d,ENSMUSG00000056673,KDM5D,
340,ENSG00000012822,Calcoco1,ENSMUSG00000023055,CALCOCO1,
341,ENSG00000012963,Ubr7,ENSMUSG00000041712,UBR7,
342,ENSG00000012983,Map4k5,ENSMUSG00000034761,MAP4K5,
343,ENSG00000013016,Ehd3,ENSMUSG00000024065,EHD3,
344,ENSG00000013275,Psmc4,ENSMUSG00000030603,PSMC4,
345,ENSG00000013288,Man2b2,ENSMUSG00000029119,MAN2B2,
346,ENSG00000013293,Slc7a14,ENSMUSG00000069072,SLC7A14,
347,ENSG00000013297,Cldn11,ENSMUSG00000037625,CLDN11,
348,ENSG00000013306,Slc25a39,ENSMUSG00000018677,SLC25A39,
349,ENSG00000013364,Mvp,ENSMUSG00000030681,MVP,
350,ENSG00000013374,Nub1,ENSMUSG00000028954,NUB1,
351,ENSG00000013375,Pgm3,ENSMUSG00000056131,PGM3,
352,ENSG00000013392,Rwdd2a,ENSMUSG00000032417,RWDD2A,
353,ENSG00000013441,Clk1,ENSMUSG00000026034,CLK1,
354,ENSG00000013503,Polr3b,ENSMUSG00000034453,POLR3B,
355,ENSG00000013523,Angel1,ENSMUSG00000021257,ANGEL1,
356,ENSG00000013561,Rnf14,ENSMUSG00000060450,RNF14,
357,ENSG00000013563,Dnase1l1,ENSMUSG00000019088,DNASE1L1,
358,ENSG00000013573,Ddx11,ENSMUSG00000035842,DDX11,
359,ENSG00000013583,Hebp1,ENSMUSG00000042770,HEBP1,
360,ENSG00000013588,Gprc5a,ENSMUSG00000046733,GPRC5A,
361,ENSG00000013619,Mamld1,ENSMUSG00000059401,MAMLD1,
362,ENSG00000013725,Cd6,ENSMUSG00000024670,CD6,
363,ENSG00000013810,Tacc3,ENSMUSG00000037313,TACC3,
364,ENSG00000014123,Ufl1,ENSMUSG00000040359,UFL1,
365,ENSG00000014138,Pola2,ENSMUSG00000024833,POLA2,
366,ENSG00000014164,Gm7353,ENSMUSG00000055452,ZC3H3,
367,ENSG00000014164,Zc3h3,ENSMUSG00000075600,ZC3H3,
368,ENSG00000014216,Capn1,ENSMUSG00000024942,CAPN1,
369,ENSG00000014257,Acpp,ENSMUSG00000032561,ACPP,
370,ENSG00000014641,Mdh1,ENSMUSG00000020321,MDH1,
371,ENSG00000014824,Slc30a9,ENSMUSG00000029221,SLC30A9,
372,ENSG00000014914,Mtmr11,ENSMUSG00000045934,MTMR11,
373,ENSG00000014919,Cox15,ENSMUSG00000040018,COX15,
374,ENSG00000015133,Ccdc88c,ENSMUSG00000021182,CCDC88C,
375,ENSG00000015153,Yaf2,ENSMUSG00000022634,YAF2,
376,ENSG00000015171,Zmynd11,ENSMUSG00000021156,ZMYND11,
377,ENSG00000015285,Was,ENSMUSG00000031165,WAS,
378,ENSG00000015413,Dpep1,ENSMUSG00000019278,DPEP1,
379,ENSG00000015475,Bid,ENSMUSG00000004446,BID,
380,ENSG00000015479,Matr3,ENSMUSG00000037236,MATR3,
381,ENSG00000015520,Npc1l1,ENSMUSG00000020447,NPC1L1,
382,ENSG00000015532,Xylt2,ENSMUSG00000020868,XYLT2,
383,ENSG00000015568,Ppie,ENSMUSG00000028651,RGPD5,
384,ENSG00000015592,Stmn4,ENSMUSG00000022044,STMN4,
385,ENSG00000015676,Nudcd3,ENSMUSG00000053838,NUDCD3,
386,ENSG00000016082,Isl1,ENSMUSG00000042258,ISL1,
387,ENSG00000016391,Chdh,ENSMUSG00000015970,CHDH,
